locationid,Applicant,cnn,Address
1337441,Liang Bai Ping,13779000,1335 YOSEMITE AVE
1332941,Mini Mobile Food Catering,5685000,1690 FOLSOM ST
1336729,Quan Catering,11741000,500 SELBY ST
751253,Pipo's Grill,5688000,1800 FOLSOM ST
1336738,Quan Catering,2867000,400 BEALE ST
1366268,Golden Gate Halal Food,8749101,979 MARKET ST
934573,May Catering,12626000,600 TOLAND ST
1332940,Mini Mobile Food Catering,515000,355 11TH ST
1336022,Paradise Catering,4285000,57 COLUMBIA SQUARE ST
773095,Athena SF Gyro,30747000,10 SOUTH VAN NESS AVE
934623,May Catering,12775000,2 ULLOA ST
1552671,Izzy's Cheesesteaks,2754000,255 BATTERY ST
